School Year,State,NCES LEA ID,LEA,School,NCES SCH ID,Data Group,Data Description,Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,Academic Subject,Program Type,Outcome
2018-2019,WASHINGTON,5309300,Vashon Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,,,,
2018-2019,WASHINGTON,5309300,Vashon Island School District,,,655,Homeless Students Enrolled,10,,,Homeless Students,Unaccompanied Youth,,,,,
2018-2019,WASHINGTON,5309300,Vashon Island School District,,,655,Homeless Students Enrolled,25,,,Homeless Students,,Doubled-up,,,,
2018-2019,WASHINGTON,5309300,Vashon Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Hotels/motels,,,,
2018-2019,WASHINGTON,5309300,Vashon Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,"Shelters, transitional housing, or awaiting foster care",,,,
2018-2019,WASHINGTON,5309300,Vashon Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Unsheltered,,,,
2019-2020,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,212,,,Homeless Students,All Students in LEA,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,American Indian or Alaska Native,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Asian,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,76,,,Homeless Students,Black or African American,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,38,,,Homeless Students,Children with disabilities,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,32,,,Homeless Students,English Learner,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,55,,,Homeless Students,Hispanic/Latino,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,16,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,35,,,Homeless Students,Two or more races,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Unaccompanied Youth,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,26,,,Homeless Students,White,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,121,,,Homeless Students,,Doubled-up,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,41,,,Homeless Students,,Hotels/motels,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,45,,,Homeless Students,,Shelters transitional housing,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300300,Auburn School District,,,655,Homeless Students Enrolled,5,,,Homeless Students,,Unsheltered,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,349,,,Homeless Students,All Students in LEA,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,American Indian or Alaska Native,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,6,,,Homeless Students,Asian,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,41,,,Homeless Students,Black or African American,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,66,,,Homeless Students,Children with disabilities,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,190,,,Homeless Students,English Learner,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,227,,,Homeless Students,Hispanic/Latino,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,22,,,Homeless Students,Two or more races,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,59,,,Homeless Students,Unaccompanied Youth,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,45,,,Homeless Students,White,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,273,,,Homeless Students,,Doubled-up,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,10,,,Homeless Students,,Hotels/motels,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,48,,,Homeless Students,,Shelters transitional housing,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300390,Bellevue School District,,,655,Homeless Students Enrolled,18,,,Homeless Students,,Unsheltered,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,215,,,Homeless Students,All Students in LEA,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,5,,,Homeless Students,American Indian or Alaska Native,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Asian,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,6,,,Homeless Students,Black or African American,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,39,,,Homeless Students,Children with disabilities,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,9,,,Homeless Students,English Learner,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,40,,,Homeless Students,Hispanic/Latino,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,18,,,Homeless Students,Two or more races,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,35,,,Homeless Students,Unaccompanied Youth,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,142,,,Homeless Students,White,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,196,,,Homeless Students,,Doubled-up,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,3,,,Homeless Students,,Hotels/motels,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,12,,,Homeless Students,,Shelters transitional housing,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300001,Enumclaw School District,,,655,Homeless Students Enrolled,4,,,Homeless Students,,Unsheltered,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,817,,,Homeless Students,All Students in LEA,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,9,,,Homeless Students,American Indian or Alaska Native,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,6,,,Homeless Students,Asian,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,321,,,Homeless Students,Black or African American,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,192,,,Homeless Students,Children with disabilities,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,125,,,Homeless Students,English Learner,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5307110,Rainier School District,,,655,Homeless Students Enrolled,20,,,Homeless Students,All Students in LEA,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5307110,Rainier School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,American Indian or Alaska Native,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5307110,Rainier School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Asian,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5307110,Rainier School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Black or African American,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5307110,Rainier School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Hispanic/Latino,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5307110,Rainier School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5307110,Rainier School District,,,655,Homeless Students Enrolled,3,,,Homeless Students,Two or more races,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5307110,Rainier School District,,,655,Homeless Students Enrolled,17,,,Homeless Students,White,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5307110,Rainier School District,,,655,Homeless Students Enrolled,5,,,Homeless Students,Children with one or more disabilities (IDEA),,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5307110,Rainier School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,English Learner,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5307110,Rainier School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5307110,Rainier School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Unaccompanied Youth,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5307110,Rainier School District,,,655,Homeless Students Enrolled,11,,,Homeless Students,,Doubled-up,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5307110,Rainier School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Hotels/motels,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5307110,Rainier School District,,,655,Homeless Students Enrolled,9,,,Homeless Students,,Shelters transitional housing,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5307110,Rainier School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Unsheltered,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,210,,,Homeless Students,Hispanic/Latino,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,98,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,92,,,Homeless Students,Two or more races,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,85,,,Homeless Students,Unaccompanied Youth,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,81,,,Homeless Students,White,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,582,,,Homeless Students,,Doubled-up,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,68,,,Homeless Students,,Hotels/motels,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,147,,,Homeless Students,,Shelters transitional housing,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302820,Federal Way School District,,,655,Homeless Students Enrolled,20,,,Homeless Students,,Unsheltered,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,120,,,Homeless Students,All Students in LEA,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,American Indian or Alaska Native,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Asian,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,11,,,Homeless Students,Black or African American,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,19,,,Homeless Students,Children with disabilities,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,20,,,Homeless Students,English Learner,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,30,,,Homeless Students,Hispanic/Latino,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,24,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,14,,,Homeless Students,Two or more races,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,17,,,Homeless Students,Unaccompanied Youth,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,41,,,Homeless Students,White,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,69,,,Homeless Students,,Doubled-up,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,46,,,Homeless Students,,Hotels/motels,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Shelters transitional housing,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5302880,Fife School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Unsheltered,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,936,,,Homeless Students,All Students in LEA,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,14,,,Homeless Students,American Indian or Alaska Native,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,47,,,Homeless Students,Asian,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,184,,,Homeless Students,Black or African American,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,192,,,Homeless Students,Children with disabilities,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,298,,,Homeless Students,English Learner,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,404,,,Homeless Students,Hispanic/Latino,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,70,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,84,,,Homeless Students,Two or more races,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Unaccompanied Youth,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,133,,,Homeless Students,White,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,717,,,Homeless Students,,Doubled-up,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,59,,,Homeless Students,,Hotels/motels,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,120,,,Homeless Students,,Shelters transitional housing,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303540,Highline School District,,,655,Homeless Students Enrolled,40,,,Homeless Students,,Unsheltered,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,151,,,Homeless Students,All Students in LEA,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,American Indian or Alaska Native,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Asian,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,31,,,Homeless Students,Black or African American,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,50,,,Homeless Students,Children with disabilities,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,16,,,Homeless Students,English Learner,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,41,,,Homeless Students,Hispanic/Latino,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,22,,,Homeless Students,Two or more races,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,7,,,Homeless Students,Unaccompanied Youth,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,53,,,Homeless Students,White,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,87,,,Homeless Students,,Doubled-up,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,15,,,Homeless Students,,Hotels/motels,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,43,,,Homeless Students,,Shelters transitional housing,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303750,Issaquah School District,,,655,Homeless Students Enrolled,6,,,Homeless Students,,Unsheltered,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,436,,,Homeless Students,All Students in LEA,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,7,,,Homeless Students,American Indian or Alaska Native,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,4,,,Homeless Students,Asian,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,145,,,Homeless Students,Black or African American,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,81,,,Homeless Students,Children with disabilities,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,68,,,Homeless Students,English Learner,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,134,,,Homeless Students,Hispanic/Latino,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,30,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,58,,,Homeless Students,Two or more races,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,29,,,Homeless Students,Unaccompanied Youth,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,58,,,Homeless Students,White,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,304,,,Homeless Students,,Doubled-up,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,42,,,Homeless Students,,Hotels/motels,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,67,,,Homeless Students,,Shelters transitional housing,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5303960,Kent School District,,,655,Homeless Students Enrolled,23,,,Homeless Students,,Unsheltered,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,3,,,Homeless Students,All Students in LEA,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,American Indian or Alaska Native,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,Asian,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,Black or African American,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,Children with disabilities,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,English Learner,,Kindergarten through 12th grade,,,
2020-2021,WASHINGTON,5308700,Tacoma School District,,,655,Homeless Students Enrolled,1488,,,Homeless Students,All Students in LEA,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5308700,Tacoma School District,,,655,Homeless Students Enrolled,27,,,Homeless Students,American Indian or Alaska Native,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5308700,Tacoma School District,,,655,Homeless Students Enrolled,38,,,Homeless Students,Asian,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5308700,Tacoma School District,,,655,Homeless Students Enrolled,395,,,Homeless Students,Black or African American,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5308700,Tacoma School District,,,655,Homeless Students Enrolled,307,,,Homeless Students,Hispanic/Latino,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5308700,Tacoma School District,,,655,Homeless Students Enrolled,99,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5308700,Tacoma School District,,,655,Homeless Students Enrolled,329,,,Homeless Students,Two or more races,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5308700,Tacoma School District,,,655,Homeless Students Enrolled,293,,,Homeless Students,White,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5308700,Tacoma School District,,,655,Homeless Students Enrolled,344,,,Homeless Students,Children with one or more disabilities (IDEA),,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5308700,Tacoma School District,,,655,Homeless Students Enrolled,147,,,Homeless Students,English Learner,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5308700,Tacoma School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5308700,Tacoma School District,,,655,Homeless Students Enrolled,228,,,Homeless Students,Unaccompanied Youth,,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5308700,Tacoma School District,,,655,Homeless Students Enrolled,1122,,,Homeless Students,,Doubled-up,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5308700,Tacoma School District,,,655,Homeless Students Enrolled,110,,,Homeless Students,,Hotels/motels,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5308700,Tacoma School District,,,655,Homeless Students Enrolled,195,,,Homeless Students,,Shelters transitional housing,Pre-K through 12th grade,,,
2020-2021,WASHINGTON,5308700,Tacoma School District,,,655,Homeless Students Enrolled,61,,,Homeless Students,,Unsheltered,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,Hispanic/Latino,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,Two or more races,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,Unaccompanied Youth,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,White,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Doubled-up,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Hotels/motels,Kindergarten through 12th grade,,,
