Year,Grade Level,Topic,Measure,Breakout,Breakout Value,% of students County,CI +/- County,% of students State,CI +/- State
2021,10,Mental Health,Contemplation of Suicide,Physical Activity Limited by Disability,No,17.40%,1.90%,17.70%,1.20%
2021,10,Mental Health,Contemplation of Suicide,Physical Activity Limited by Disability,Yes,42.30%,7.80%,43.20%,5.10%
2021,10,Mental Health,Contemplation of Suicide,Migrant Status,Non-migrant,19.10%,1.30%,19.40%,0.90%
2021,10,Mental Health,Contemplation of Suicide,Migrant Status,Migrant,21.80%,5.70%,23.60%,3.40%
2021,10,Mental Health,Contemplation of Suicide,Military Parents,Non-militrary,19.30%,2.00%,18.80%,1.30%
2021,10,Mental Health,Contemplation of Suicide,Military Parents,Military,22.70%,5.70%,23.80%,2.80%
2021,10,Mental Health,Contemplation of Suicide,Lost Home Due to Finances,No,19.10%,1.30%,19.20%,0.90%
2021,10,Mental Health,Contemplation of Suicide,Lost Home Due to Finances,Yes,35.60%,12.20%,36.50%,6.70%
2021,10,Mental Health,Contemplation of Suicide,Not Enough Money for Food in Past Year,No,18.50%,1.30%,18.40%,0.90%
2021,10,Mental Health,Contemplation of Suicide,Not Enough Money for Food in Past Year,Yes,40.40%,8.30%,40.00%,4.40%
2021,10,Mental Health,Plan to Attempt Suicide,Grades in School,Mostly A's,13.00%,2.00%,12.50%,1.40%
2021,10,Mental Health,Plan to Attempt Suicide,Grades in School,Mostly B's,14.20%,3.50%,14.10%,2.20%
2021,10,Mental Health,Plan to Attempt Suicide,Grades in School,Mostly C's,24.00%,6.30%,20.80%,3.00%
2021,10,Mental Health,Plan to Attempt Suicide,Grades in School,Mostly D's/F's,37.90%,10.20%,25.10%,4.00%
2021,10,Mental Health,Plan to Attempt Suicide,Gender Identity,Male,9.80%,2.00%,9.50%,1.30%
2021,10,Mental Health,Plan to Attempt Suicide,Gender Identity,Female,17.30%,2.70%,17.10%,1.70%
2021,10,Mental Health,Plan to Attempt Suicide,Gender Identity,Transgender,75.00%,24.50%,50.00%,18.50%
2021,10,Mental Health,Plan to Attempt Suicide,Sexual Orientation,Heterosexual,9.70%,1.70%,9.20%,1.10%
2021,10,Mental Health,Plan to Attempt Suicide,Sexual Orientation,Gay or Lesbian,30.60%,10.70%,36.70%,7.50%
2021,10,Mental Health,Plan to Attempt Suicide,Sexual Orientation,Bisexual,35.40%,6.30%,34.20%,4.00%
2021,10,Mental Health,Plan to Attempt Suicide,Sexual Orientation,Questioning,25.00%,7.80%,27.60%,5.60%
2021,10,Mental Health,Plan to Attempt Suicide,Race/Ethnicity,Asian,13.80%,3.30%,14.90%,3.30%
2021,10,Mental Health,Plan to Attempt Suicide,Race/Ethnicity,Black,6.50%,5.10%,10.40%,5.00%
2021,10,Mental Health,Plan to Attempt Suicide,Race/Ethnicity,Hispanic,13.50%,5.80%,12.10%,2.40%
2021,10,Mental Health,Plan to Attempt Suicide,Race/Ethnicity,White,17.40%,2.50%,16.40%,1.60%
2021,10,Mental Health,Plan to Attempt Suicide,Race/Ethnicity,Multi-race,16.30%,4.60%,18.40%,2.90%
2021,10,Mental Health,Plan to Attempt Suicide,Any Disability,No,10.20%,1.70%,10.00%,1.10%
2021,10,Mental Health,Plan to Attempt Suicide,Any Disability,Yes,30.00%,4.20%,30.50%,2.70%
2021,10,Mental Health,Plan to Attempt Suicide,Physical Disability,No,14.60%,1.70%,14.80%,1.10%
2021,10,Mental Health,Plan to Attempt Suicide,Physical Disability,Yes,24.00%,6.80%,22.30%,4.10%
2021,10,Mental Health,Plan to Attempt Suicide,Emotional/Learning Disability,No,11.00%,1.60%,10.80%,1.00%
2021,10,Mental Health,Plan to Attempt Suicide,Emotional/Learning Disability,Yes,36.30%,5.40%,38.40%,3.60%
2021,10,Mental Health,Plan to Attempt Suicide,Others Think I Have Disability,No,12.10%,1.60%,12.50%,1.10%
2021,10,Mental Health,Plan to Attempt Suicide,Others Think I Have Disability,Yes,38.50%,6.40%,35.50%,4.00%
2021,10,Mental Health,Plan to Attempt Suicide,Physical Activity Limited by Disability,No,13.40%,1.70%,13.60%,1.10%
2021,10,Mental Health,Plan to Attempt Suicide,Physical Activity Limited by Disability,Yes,35.90%,7.50%,36.20%,4.90%
2021,10,Mental Health,Plan to Attempt Suicide,Migrant Status,Non-migrant,15.50%,1.70%,15.50%,1.10%
2021,10,Mental Health,Plan to Attempt Suicide,Migrant Status,Migrant,16.80%,7.50%,18.50%,4.40%
2021,10,Mental Health,Plan to Attempt Suicide,Military Parents,Non-militrary,14.80%,1.80%,14.50%,1.20%
2021,10,Mental Health,Plan to Attempt Suicide,Military Parents,Military,20.90%,5.60%,19.50%,2.60%
2021,10,Mental Health,Plan to Attempt Suicide,Lost Home Due to Finances,No,15.10%,1.70%,15.30%,1.10%
2021,10,Mental Health,Plan to Attempt Suicide,Lost Home Due to Finances,Yes,28.60%,15.00%,26.00%,8.80%
2021,10,Mental Health,Plan to Attempt Suicide,Not Enough Money for Food in Past Year,No,14.80%,1.70%,14.70%,1.10%
2021,10,Mental Health,Plan to Attempt Suicide,Not Enough Money for Food in Past Year,Yes,31.20%,10.40%,29.90%,5.70%
2021,10,Mental Health,Attempted Suicide,Grades in School,Mostly A's,4.30%,1.20%,5.10%,0.90%
2021,10,Mental Health,Attempted Suicide,Grades in School,Mostly B's,5.80%,2.40%,7.00%,1.60%
2021,10,Mental Health,Attempted Suicide,Grades in School,Mostly C's,9.70%,4.40%,12.40%,2.50%
2021,10,Mental Health,Attempted Suicide,Grades in School,Mostly D's/F's,21.60%,8.60%,17.60%,3.50%
2021,10,Mental Health,Attempted Suicide,Gender Identity,Male,3.30%,1.20%,4.30%,0.90%
2021,10,Mental Health,Attempted Suicide,Gender Identity,Female,6.40%,1.70%,9.40%,1.30%
2021,10,Mental Health,Attempted Suicide,Gender Identity,Transgender,41.70%,27.90%,27.60%,16.30%
2021,10,Mental Health,Attempted Suicide,Sexual Orientation,Heterosexual,3.00%,0.90%,4.30%,0.70%
2021,10,Mental Health,Attempted Suicide,Sexual Orientation,Gay or Lesbian,12.50%,7.60%,19.60%,6.20%
2021,10,Mental Health,Attempted Suicide,Sexual Orientation,Bisexual,16.40%,4.80%,21.30%,3.40%
2021,10,Mental Health,Attempted Suicide,Sexual Orientation,Questioning,10.90%,5.60%,13.30%,4.30%
2021,10,Mental Health,Attempted Suicide,Race/Ethnicity,Asian,4.60%,2.00%,5.40%,2.10%
2021,10,Mental Health,Attempted Suicide,Race/Ethnicity,Black,4.30%,4.10%,6.90%,4.20%
2021,10,Mental Health,Attempted Suicide,Race/Ethnicity,Hispanic,6.60%,4.20%,7.70%,2.00%
2021,10,Mental Health,Attempted Suicide,Race/Ethnicity,White,6.70%,1.70%,7.80%,1.20%
2021,10,Mental Health,Attempted Suicide,Race/Ethnicity,Multi-race,6.00%,2.90%,10.40%,2.30%
2021,10,Mental Health,Attempted Suicide,Any Disability,No,2.90%,0.90%,4.20%,0.70%
2021,10,Mental Health,Attempted Suicide,Any Disability,Yes,14.70%,3.30%,18.20%,2.30%
2021,10,Mental Health,Attempted Suicide,Physical Disability,No,5.50%,1.10%,7.30%,0.80%
2021,10,Mental Health,Attempted Suicide,Physical Disability,Yes,11.30%,5.10%,14.80%,3.50%
2021,10,Mental Health,Attempted Suicide,Emotional/Learning Disability,No,3.60%,1.00%,4.60%,0.70%
2021,10,Mental Health,Attempted Suicide,Emotional/Learning Disability,Yes,17.50%,4.30%,24.00%,3.10%
2021,10,Mental Health,Attempted Suicide,Others Think I Have Disability,No,4.10%,1.00%,6.00%,0.80%
2021,10,Mental Health,Attempted Suicide,Others Think I Have Disability,Yes,18.80%,5.10%,20.90%,3.40%
2021,10,Mental Health,Attempted Suicide,Physical Activity Limited by Disability,No,4.60%,1.00%,6.40%,0.80%
2021,10,Mental Health,Attempted Suicide,Physical Activity Limited by Disability,Yes,20.10%,6.30%,24.50%,4.40%
2021,10,Mental Health,Attempted Suicide,Migrant Status,Non-migrant,6.20%,1.10%,8.00%,0.80%
2021,10,Mental Health,Attempted Suicide,Migrant Status,Migrant,5.20%,4.40%,11.30%,3.60%
2021,10,Mental Health,Attempted Suicide,Military Parents,Non-militrary,5.80%,1.20%,7.00%,0.90%
2021,10,Mental Health,Attempted Suicide,Military Parents,Military,6.80%,3.40%,11.70%,2.10%
2021,10,Mental Health,Attempted Suicide,Lost Home Due to Finances,No,5.80%,1.10%,7.90%,0.80%
2021,10,Mental Health,Attempted Suicide,Lost Home Due to Finances,Yes,10.80%,10.00%,16.30%,7.30%
2021,10,Mental Health,Attempted Suicide,Not Enough Money for Food in Past Year,No,5.20%,1.10%,7.10%,0.80%
2021,10,Mental Health,Attempted Suicide,Not Enough Money for Food in Past Year,Yes,21.50%,9.10%,23.10%,5.20%
2021,12,Mental Health,Adults to Turn to When Depressed,Grades in School,Mostly A's,64.70%,3.60%,62.70%,2.80%
2021,12,Mental Health,Adults to Turn to When Depressed,Grades in School,Mostly B's,50.90%,6.50%,47.90%,3.90%
2021,12,Mental Health,Adults to Turn to When Depressed,Grades in School,Mostly C's,51.90%,8.50%,48.60%,4.70%
2021,12,Mental Health,Adults to Turn to When Depressed,Grades in School,Mostly D's/F's,40.70%,13.10%,41.00%,6.00%
2021,12,Mental Health,Adults to Turn to When Depressed,Gender Identity,Male,59.50%,4.20%,53.70%,2.80%
2021,12,Mental Health,Adults to Turn to When Depressed,Gender Identity,Female,61.60%,4.30%,57.40%,2.90%
2021,12,Mental Health,Adults to Turn to When Depressed,Sexual Orientation,Heterosexual,61.20%,3.40%,56.30%,2.30%
2021,12,Mental Health,Adults to Turn to When Depressed,Sexual Orientation,Gay or Lesbian,50.00%,15.10%,47.00%,10.70%
2021,12,Mental Health,Adults to Turn to When Depressed,Sexual Orientation,Bisexual,54.00%,8.40%,49.40%,5.40%
2021,12,Mental Health,Adults to Turn to When Depressed,Sexual Orientation,Questioning,51.60%,12.50%,45.80%,9.00%
2021,12,Mental Health,Adults to Turn to When Depressed,Race/Ethnicity,Asian,53.60%,7.00%,57.60%,6.80%
2021,12,Mental Health,Adults to Turn to When Depressed,Race/Ethnicity,Black,39.20%,13.40%,47.50%,12.80%
2021,12,Mental Health,Adults to Turn to When Depressed,Race/Ethnicity,Hispanic,55.40%,11.30%,41.60%,4.50%
2021,12,Mental Health,Adults to Turn to When Depressed,Race/Ethnicity,White,64.50%,3.90%,59.90%,2.60%
2021,12,Mental Health,Adults to Turn to When Depressed,Race/Ethnicity,Multi-race,59.70%,7.00%,51.80%,4.90%
2021,12,Mental Health,Adults to Turn to When Depressed,Any Disability,No,60.40%,3.60%,55.70%,2.30%
2021,12,Mental Health,Adults to Turn to When Depressed,Any Disability,Yes,57.70%,5.10%,50.60%,3.60%
2021,12,Mental Health,Adults to Turn to When Depressed,Physical Disability,No,60.20%,3.10%,54.60%,2.10%
2021,12,Mental Health,Adults to Turn to When Depressed,Physical Disability,Yes,52.80%,8.80%,50.40%,5.90%
2021,12,Mental Health,Adults to Turn to When Depressed,Emotional/Learning Disability,No,59.90%,3.40%,54.50%,2.20%
2021,12,Mental Health,Adults to Turn to When Depressed,Emotional/Learning Disability,Yes,58.20%,5.80%,53.00%,4.20%
2021,12,Mental Health,Adults to Turn to When Depressed,Others Think I Have Disability,No,59.30%,3.20%,54.40%,2.10%
2021,12,Mental Health,Adults to Turn to When Depressed,Others Think I Have Disability,Yes,59.50%,6.60%,53.30%,4.80%
2021,12,Mental Health,Adults to Turn to When Depressed,Physical Activity Limited by Disability,No,59.50%,3.10%,54.60%,2.10%
2021,12,Mental Health,Adults to Turn to When Depressed,Physical Activity Limited by Disability,Yes,59.60%,8.10%,50.70%,6.00%
2021,12,Mental Health,Adults to Turn to When Depressed,Migrant Status,Non-migrant,59.20%,3.00%,54.40%,2.00%
2021,12,Mental Health,Adults to Turn to When Depressed,Migrant Status,Migrant,54.20%,12.70%,48.00%,8.00%
2021,12,Mental Health,Adults to Turn to When Depressed,Military Parents,Non-militrary,58.80%,3.10%,53.20%,2.20%
2021,12,Mental Health,Adults to Turn to When Depressed,Military Parents,Military,60.00%,9.00%,57.10%,4.30%
2021,12,Mental Health,Adults to Turn to When Depressed,Lost Home Due to Finances,No,59.70%,2.90%,54.70%,2.00%
2021,12,Mental Health,Adults to Turn to When Depressed,Lost Home Due to Finances,Yes,42.30%,19.00%,36.00%,10.90%
2021,12,Mental Health,Adults to Turn to When Depressed,Not Enough Money for Food in Past Year,No,60.70%,3.00%,55.70%,2.00%
2021,12,Mental Health,Adults to Turn to When Depressed,Not Enough Money for Food in Past Year,Yes,30.40%,12.10%,32.90%,7.00%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Grades in School,Mostly A's,80.00%,2.10%,76.00%,1.70%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Grades in School,Mostly B's,75.10%,4.00%,69.60%,2.50%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Grades in School,Mostly C's,76.70%,5.30%,73.60%,3.00%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Grades in School,Mostly D's/F's,82.10%,7.10%,79.00%,3.60%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Gender Identity,Male,66.10%,2.90%,60.90%,2.00%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Gender Identity,Female,88.90%,2.00%,84.90%,1.50%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Gender Identity,Transgender,88.90%,14.50%,86.80%,10.80%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Sexual Orientation,Heterosexual,73.10%,2.20%,68.10%,1.60%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Sexual Orientation,Gay or Lesbian,89.50%,6.20%,88.50%,4.90%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Sexual Orientation,Bisexual,91.30%,3.30%,91.80%,2.10%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Sexual Orientation,Questioning,93.20%,4.30%,88.40%,4.10%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Race/Ethnicity,Native American,80.00%,24.80%,64.50%,11.90%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Race/Ethnicity,Asian,81.40%,3.90%,78.30%,4.10%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Race/Ethnicity,Black,60.00%,9.60%,60.00%,8.60%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Race/Ethnicity,Hispanic,62.70%,7.70%,65.40%,3.10%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Race/Ethnicity,Pacific Islander,53.80%,27.10%,61.00%,12.40%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Race/Ethnicity,White,81.10%,2.20%,77.00%,1.60%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Race/Ethnicity,Multi-race,78.30%,4.30%,75.20%,2.90%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Academic  Failure,Low Risk,77.00%,3.20%,72.30%,2.50%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Academic  Failure,High Risk,77.70%,4.00%,76.10%,2.50%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Low Commitment to School,Low Risk,70.20%,4.00%,68.80%,2.70%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Low Commitment to School,High Risk,82.40%,3.10%,78.20%,2.20%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Poor Family Management,Low Risk,76.80%,2.90%,72.30%,2.10%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Poor Family Management,High Risk,78.40%,4.80%,79.60%,3.20%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Favorable Attitudes Toward Drug Use,Low Risk,73.50%,3.70%,70.50%,2.50%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Favorable Attitudes Toward Drug Use,High Risk,80.30%,3.40%,77.90%,2.40%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Peers Attitudes Favorable Towards Drug Use,Low Risk,70.90%,3.70%,69.20%,2.40%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Peers Attitudes Favorable Towards Drug Use,High Risk,84.00%,3.20%,80.80%,2.40%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Any Disability,No,72.60%,3.30%,67.40%,2.20%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Any Disability,Yes,94.20%,2.40%,89.70%,2.20%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Physical Disability,No,78.20%,2.60%,72.30%,1.80%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Physical Disability,Yes,93.40%,4.40%,87.90%,3.90%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Emotional/Learning Disability,No,74.70%,3.00%,69.00%,2.00%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Emotional/Learning Disability,Yes,94.90%,2.60%,92.30%,2.30%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Others Think I Have Disability,No,75.90%,2.80%,70.70%,1.90%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Others Think I Have Disability,Yes,96.20%,2.60%,90.50%,2.80%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Physical Activity Limited by Disability,No,77.40%,2.70%,71.90%,1.90%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Physical Activity Limited by Disability,Yes,96.40%,3.10%,91.70%,3.30%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Migrant Status,Non-migrant,78.20%,1.80%,73.90%,1.20%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Migrant Status,Migrant,80.80%,7.00%,72.40%,5.00%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Military Parents,Non-militrary,80.30%,2.50%,74.20%,1.90%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Military Parents,Military,79.80%,7.40%,74.50%,3.80%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Lost Home Due to Finances,No,78.80%,1.70%,73.90%,1.20%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Lost Home Due to Finances,Yes,76.00%,11.80%,79.30%,6.60%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Not Enough Money for Food in Past Year,No,78.60%,1.80%,73.30%,1.30%
2021,12,Mental Health,"Feeling Nervous, Anxious or on Edge",Not Enough Money for Food in Past Year,Yes,79.00%,7.80%,84.60%,3.70%
2021,12,Mental Health,Unable to Stop or Control Worrying,Grades in School,Mostly A's,64.30%,2.50%,64.00%,2.00%
2021,12,Mental Health,Unable to Stop or Control Worrying,Grades in School,Mostly B's,67.00%,4.40%,59.60%,2.70%
2021,12,Mental Health,Unable to Stop or Control Worrying,Grades in School,Mostly C's,66.50%,5.90%,62.70%,3.30%
2021,12,Mental Health,Unable to Stop or Control Worrying,Grades in School,Mostly D's/F's,76.80%,7.80%,71.00%,4.00%
2021,12,Mental Health,Unable to Stop or Control Worrying,Gender Identity,Male,49.00%,3.00%,47.90%,2.00%
2021,12,Mental Health,Unable to Stop or Control Worrying,Gender Identity,Female,79.40%,2.60%,75.40%,1.80%
2021,12,Mental Health,Unable to Stop or Control Worrying,Gender Identity,Transgender,88.90%,14.50%,81.60%,12.30%
2021,12,Mental Health,Unable to Stop or Control Worrying,Sexual Orientation,Heterosexual,58.10%,2.50%,56.00%,1.70%
2021,12,Mental Health,Unable to Stop or Control Worrying,Sexual Orientation,Gay or Lesbian,80.90%,8.00%,79.90%,6.10%
2021,12,Mental Health,Unable to Stop or Control Worrying,Sexual Orientation,Bisexual,82.60%,4.40%,84.30%,2.80%
2021,12,Mental Health,Unable to Stop or Control Worrying,Sexual Orientation,Questioning,89.20%,5.30%,81.00%,5.10%
2021,12,Mental Health,Unable to Stop or Control Worrying,Race/Ethnicity,Native American,80.00%,24.80%,52.50%,12.70%
2021,12,Mental Health,Unable to Stop or Control Worrying,Race/Ethnicity,Asian,68.10%,4.70%,66.40%,4.70%
2021,12,Mental Health,Unable to Stop or Control Worrying,Race/Ethnicity,Black,53.50%,9.80%,58.10%,8.70%
2021,12,Mental Health,Unable to Stop or Control Worrying,Race/Ethnicity,Hispanic,54.90%,7.90%,54.50%,3.30%
2021,12,Mental Health,Unable to Stop or Control Worrying,Race/Ethnicity,Pacific Islander,61.50%,26.50%,61.00%,12.40%
2021,12,Mental Health,Unable to Stop or Control Worrying,Race/Ethnicity,White,66.90%,2.70%,65.10%,1.80%
2021,12,Mental Health,Unable to Stop or Control Worrying,Race/Ethnicity,Multi-race,65.00%,5.00%,65.40%,3.20%
2021,12,Mental Health,Unable to Stop or Control Worrying,Academic  Failure,Low Risk,64.00%,3.70%,61.60%,2.70%
2021,12,Mental Health,Unable to Stop or Control Worrying,Academic  Failure,High Risk,70.60%,4.40%,67.80%,2.70%
2021,12,Mental Health,Unable to Stop or Control Worrying,Low Commitment to School,Low Risk,56.50%,4.30%,57.30%,2.90%
2021,12,Mental Health,Unable to Stop or Control Worrying,Low Commitment to School,High Risk,74.00%,3.50%,69.90%,2.40%
2021,12,Mental Health,Unable to Stop or Control Worrying,Poor Family Management,Low Risk,65.10%,3.30%,62.20%,2.20%
2021,12,Mental Health,Unable to Stop or Control Worrying,Poor Family Management,High Risk,69.80%,5.40%,72.10%,3.60%
2021,12,Mental Health,Unable to Stop or Control Worrying,Favorable Attitudes Toward Drug Use,Low Risk,65.50%,4.00%,62.70%,2.60%
2021,12,Mental Health,Unable to Stop or Control Worrying,Favorable Attitudes Toward Drug Use,High Risk,66.70%,4.00%,66.80%,2.70%
2021,12,Mental Health,Unable to Stop or Control Worrying,Peers Attitudes Favorable Towards Drug Use,Low Risk,59.60%,4.00%,59.50%,2.50%
2021,12,Mental Health,Unable to Stop or Control Worrying,Peers Attitudes Favorable Towards Drug Use,High Risk,73.50%,3.80%,71.40%,2.80%
2021,12,Mental Health,Unable to Stop or Control Worrying,Any Disability,No,54.70%,3.70%,53.50%,2.30%
2021,12,Mental Health,Unable to Stop or Control Worrying,Any Disability,Yes,85.30%,3.70%,82.00%,2.80%
2021,12,Mental Health,Unable to Stop or Control Worrying,Physical Disability,No,62.50%,3.10%,59.70%,2.00%
2021,12,Mental Health,Unable to Stop or Control Worrying,Physical Disability,Yes,83.30%,6.70%,79.60%,4.80%
2021,12,Mental Health,Unable to Stop or Control Worrying,Emotional/Learning Disability,No,57.00%,3.40%,55.20%,2.20%
2021,12,Mental Health,Unable to Stop or Control Worrying,Emotional/Learning Disability,Yes,89.00%,3.70%,86.90%,2.90%
2021,12,Mental Health,Unable to Stop or Control Worrying,Others Think I Have Disability,No,59.10%,3.30%,57.50%,2.10%
2021,12,Mental Health,Unable to Stop or Control Worrying,Others Think I Have Disability,Yes,89.80%,4.10%,84.20%,3.50%
2021,12,Mental Health,Unable to Stop or Control Worrying,Physical Activity Limited by Disability,No,61.00%,3.10%,59.00%,2.00%
2021,12,Mental Health,Unable to Stop or Control Worrying,Physical Activity Limited by Disability,Yes,92.60%,4.40%,85.90%,4.20%
2021,12,Mental Health,Unable to Stop or Control Worrying,Migrant Status,Non-migrant,65.50%,2.00%,63.00%,1.40%
2021,12,Mental Health,Unable to Stop or Control Worrying,Migrant Status,Migrant,66.40%,8.60%,62.20%,5.50%
2021,12,Mental Health,Unable to Stop or Control Worrying,Military Parents,Non-militrary,64.30%,3.00%,61.70%,2.10%
2021,12,Mental Health,Unable to Stop or Control Worrying,Military Parents,Military,71.10%,8.30%,64.00%,4.20%
2021,12,Mental Health,Unable to Stop or Control Worrying,Lost Home Due to Finances,No,65.80%,2.00%,62.90%,1.40%
2021,12,Mental Health,Unable to Stop or Control Worrying,Lost Home Due to Finances,Yes,64.00%,13.30%,70.90%,7.50%
2021,12,Mental Health,Unable to Stop or Control Worrying,Not Enough Money for Food in Past Year,No,65.20%,2.10%,62.20%,1.40%
2021,12,Mental Health,Unable to Stop or Control Worrying,Not Enough Money for Food in Past Year,Yes,74.50%,8.50%,77.10%,4.30%
2021,12,Mental Health,Depressive Feelings,Grades in School,Mostly A's,35.40%,2.50%,37.40%,2.00%
2021,12,Mental Health,Depressive Feelings,Grades in School,Mostly B's,49.30%,4.60%,44.10%,2.80%
2021,12,Mental Health,Depressive Feelings,Grades in School,Mostly C's,62.80%,6.00%,54.60%,3.40%
2021,12,Mental Health,Depressive Feelings,Grades in School,Mostly D's/F's,67.00%,8.60%,64.40%,4.20%
2021,12,Mental Health,Depressive Feelings,Gender Identity,Male,33.00%,2.80%,34.20%,1.90%
2021,12,Mental Health,Depressive Feelings,Gender Identity,Female,47.70%,3.10%,50.80%,2.10%
2021,12,Mental Health,Depressive Feelings,Gender Identity,Transgender,72.20%,20.70%,78.90%,13.00%
2021,12,Mental Health,Depressive Feelings,Sexual Orientation,Heterosexual,34.60%,2.40%,36.90%,1.60%
2021,12,Mental Health,Depressive Feelings,Sexual Orientation,Gay or Lesbian,61.70%,9.80%,63.60%,7.30%
2021,12,Mental Health,Depressive Feelings,Sexual Orientation,Bisexual,69.30%,5.30%,70.30%,3.50%
2021,12,Mental Health,Depressive Feelings,Sexual Orientation,Questioning,57.10%,8.40%,61.80%,6.20%
2021,12,Mental Health,Depressive Feelings,Race/Ethnicity,Native American,60.00%,30.40%,47.60%,12.30%
2021,12,Mental Health,Depressive Feelings,Race/Ethnicity,Asian,38.90%,4.90%,41.00%,4.90%
2021,12,Mental Health,Depressive Feelings,Race/Ethnicity,Black,46.50%,9.70%,41.60%,8.60%
2021,12,Mental Health,Depressive Feelings,Race/Ethnicity,Hispanic,47.40%,7.80%,45.70%,3.30%
2021,12,Mental Health,Depressive Feelings,Race/Ethnicity,Pacific Islander,53.80%,27.10%,44.60%,13.00%
2021,12,Mental Health,Depressive Feelings,Race/Ethnicity,White,41.30%,2.80%,42.80%,1.90%
2021,12,Mental Health,Depressive Feelings,Race/Ethnicity,Multi-race,47.70%,5.10%,50.20%,3.40%
2021,12,Mental Health,Depressive Feelings,Academic  Failure,Low Risk,36.40%,3.70%,39.00%,2.70%
2021,12,Mental Health,Depressive Feelings,Academic  Failure,High Risk,56.90%,4.70%,56.10%,2.90%
2021,12,Mental Health,Depressive Feelings,Low Commitment to School,Low Risk,29.50%,4.00%,35.90%,2.80%
2021,12,Mental Health,Depressive Feelings,Low Commitment to School,High Risk,56.50%,4.00%,55.90%,2.60%
2021,12,Mental Health,Depressive Feelings,Poor Family Management,Low Risk,40.40%,3.40%,42.80%,2.30%
2021,12,Mental Health,Depressive Feelings,Poor Family Management,High Risk,54.70%,5.80%,59.90%,3.90%
2021,12,Mental Health,Depressive Feelings,Favorable Attitudes Toward Drug Use,Low Risk,40.30%,4.10%,42.50%,2.70%
2021,12,Mental Health,Depressive Feelings,Favorable Attitudes Toward Drug Use,High Risk,48.30%,4.20%,52.90%,2.90%
2021,12,Mental Health,Depressive Feelings,Peers Attitudes Favorable Towards Drug Use,Low Risk,37.00%,3.90%,40.40%,2.50%
2021,12,Mental Health,Depressive Feelings,Peers Attitudes Favorable Towards Drug Use,High Risk,51.50%,4.30%,56.80%,3.10%
2021,12,Mental Health,Depressive Feelings,Any Disability,No,30.20%,3.40%,33.00%,2.20%
2021,12,Mental Health,Depressive Feelings,Any Disability,Yes,64.20%,4.90%,65.10%,3.40%
2021,12,Mental Health,Depressive Feelings,Physical Disability,No,40.00%,3.10%,40.50%,2.00%
2021,12,Mental Health,Depressive Feelings,Physical Disability,Yes,55.30%,8.80%,58.70%,5.80%
2021,12,Mental Health,Depressive Feelings,Emotional/Learning Disability,No,32.20%,3.20%,34.50%,2.10%
